m,e5gfs1,e5gfs4,e5gfs16,e5gfs64,e5gfs256,k80gfs1,k80gfs4,k80gfs16,k80gfs64,k80gfs256,p100gfs1,p100gfs4,p100gfs16,p100gfs64,p100gfs256,e5tmm1,e5tmm4,e5tmm16,e5tmm64,e5tmm256,k80tmm1,k80tmm4,k80tmm16,k80tmm64,k80tmm256,p100tmm1,p100tmm4,p100tmm16,p100tmm64,p100tmm256,e5tc1,e5tc4,e5tc16,e5tc64,e5tc256,k80tc1,k80tc4,k80tc16,k80tc64,k80tc256,p100tc1,p100tc4,p100tc16,p100tc64,p100tc256,mklgfs1,mkltmm1,flops
256,0.349,1.284,5.734,2.89,1.048,10.442,7.898,4.101,1.829,0.745,5.146,4.315,5.028,4.258,2.08,98.1748,27.8269,5.8544,11.6047,32.0101,3.2271,4.2674,8.2072,18.3412,45.1591,6.5216,7.778,6.6769,7.8817,16.1313,0.353,9.4131,3.922,170.3744,2069.2372,9.5899,18.5018,43.0245,119.2657,383.7054,12.7947,22.1013,49.3855,152.0435,445.8758,5.34,6.288,33554432
1024,0.367,1.578,5.986,21.273,38.699,19.292,19.204,17.697,15.349,9.088,5.172,5.506,5.62,5.605,5.489,5858.0616,1361.0134,358.8378,100.9558,55.4996,111.3072,111.8255,121.3564,139.9195,236.2907,415.048,389.8262,381.8798,383.1666,391.324,7.9294,111.1379,18.7259,822.6181,2961.0725,36.0587,80.3013,184.1709,528.6077,1760.5045,41.0477,87.6925,200.625,564.3943,1834.7169,32.64,65.802,2147483648
4096,0.364,1.636,6.002,23.847,92.714,18.672,18.793,18.871,18.857,18.968,5.63,5.673,5.68,5.695,5.69,377079.9778,84072.5631,22900.6879,5763.5972,1482.4322,7360.3367,7313.2981,7283.3908,7288.0407,7245.9902,24407.2545,24232.4501,24196.5433,24133.2032,24145.8337,144.0175,1695.0757,251.8864,1885.1665,5777.4527,215.4415,375.1683,861.8124,2292.2274,7355.294,222.8767,393.5402,879.9492,2191.0287,7333.7412,33.67,4081.684,137438953472
16384,,,5.992,22.608,88.759,18.745,18.653,18.484,18.508,18.579,,,,,5.71,,,1467619.0479,389077.3526,99123.0212,469255.0737,471577.5847,475864.8945,475245.1038,473410.0524,,,,,1541268.2277,,,11413.3854,23464.6609,26851.758,1842.7874,2573.4836,4334.7121,10770.5224,31394.0784,,,,,30272.5422,35.11,250537.253,8796093022208
