arch,m,q,n,s,r,flops,tmult,tcomm
K80,256,256,256,30,774.45,33554432,0.043,398.159000
K80,1024,1024,1024,30,2521.96,2147483648,0.852,375.856000
K80,4096,4096,4096,30,2735.88,137438953472,50.236,422.245000
K80,16384,16384,16384,30,2652.15,8796093022208,3316.587,1287.577000
